School,Sport,Division,Conference,Roster URL 2024 (candidate),Method,Roster URL 2025 (known good),2025 Player Count,Status,Notes
Akron,womens-soccer,NCAA D1,MAC,https://gozips.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20250919024346/https://gozips.com/sports/womens-soccer/roster,25,todo,
Alabama,womens-soccer,NCAA D1,SEC,https://rolltide.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251214014454/https://rolltide.com/sports/womens-soccer/roster,27,todo,
Alabama A&M,womens-soccer,NCAA D1,SWAC,https://aamusports.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251026153536/https://aamusports.com/sports/womens-soccer/roster,33,todo,
Alabama Huntsville,mens-soccer,NCAA D2,GSC,https://uahchargers.com/sports/mens-soccer/roster/2024,year-swap (direct),https://uahchargers.com/sports/mens-soccer/roster/2025,31,todo,
Alabama Huntsville,womens-soccer,NCAA D2,Gulf South Conference,https://uahchargers.com/sports/womens-soccer/roster/2024,year-swap (direct),https://uahchargers.com/sports/womens-soccer/roster/2025,27,todo,
Alabama State,womens-soccer,NCAA D1,SWAC,https://bamastatesports.com/sports/womens-soccer/roster,no year in URL — check the site for a 2024 season selector,https://bamastatesports.com/sports/womens-soccer/roster,26,todo,
Albany,mens-soccer,NCAA D1,America East,https://ualbanysports.com/sports/mens-soccer/roster/2024,year-swap (direct),https://ualbanysports.com/sports/mens-soccer/roster/2025,30,todo,
Albany,womens-soccer,NCAA D1,America East,https://ualbanysports.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251106155851/https://ualbanysports.com/sports/womens-soccer/roster,24,todo,
Albertus Magnus,mens-soccer,NCAA D3,NAC,https://albertusfalcons.com/sports/msoc/2024-26/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251108150828/https://albertusfalcons.com/sports/msoc/2025-26/roster,34,todo,
Albion,mens-soccer,NCAA D3,MIAA-D3,https://gobrits.com/sports/mens-soccer/roster/2024,year-swap (direct),https://gobrits.com/sports/mens-soccer/roster/2025,30,todo,
Albion College,womens-soccer,NCAA D3,Michigan Intercollegiate Athletic Association,https://gobrits.com/sports/womens-soccer/roster/2024,year-swap (direct),https://gobrits.com/sports/womens-soccer/roster/2025,34,todo,
Albright,mens-soccer,NCAA D3,MAC Commonwealth,https://albrightathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://albrightathletics.com/sports/mens-soccer/roster/2025,31,todo,
Albright College,womens-soccer,NCAA D3,Middle Atlantic Conference (Commonwealth),https://albrightathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://albrightathletics.com/sports/womens-soccer/roster/2025,34,todo,
Alcorn State,womens-soccer,NCAA D1,SWAC,https://alcornsports.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251020215251/https://alcornsports.com/sports/womens-soccer/roster,22,todo,
Alfred State,mens-soccer,NCAA D3,AMCC,https://alfredstateathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://alfredstateathletics.com/sports/mens-soccer/roster/2025,29,todo,
Alfred University,mens-soccer,NCAA D3,Empire 8,https://gosaxons.com/sports/mens-soccer/roster/2024,year-swap (direct),https://gosaxons.com/sports/mens-soccer/roster/2025,27,todo,
Alfred University,womens-soccer,NCAA D3,Empire 8,https://gosaxons.com/sports/womens-soccer/roster/2024,year-swap (direct),https://gosaxons.com/sports/womens-soccer/roster/2025,28,todo,
Allegheny,mens-soccer,NCAA D3,NCAC,https://alleghenygators.com/sports/mens-soccer/roster/2024,year-swap (direct),https://alleghenygators.com/sports/mens-soccer/roster/2025,27,todo,
Allegheny College,womens-soccer,NCAA D3,Presidents' Athletic Conference,https://alleghenygators.com/sports/womens-soccer/roster/2024,year-swap (direct),https://alleghenygators.com/sports/womens-soccer/roster/2025,30,todo,
Allen,womens-soccer,NCAA D2,Independent,https://auyellowjackets.com/sports/wsoc/roster/2024,year-swap (direct),https://auyellowjackets.com/sports/wsoc/roster/2025,15,todo,
Alma,mens-soccer,NCAA D3,MIAA-D3,https://almascots.com/sports/mens-soccer/roster/2024,year-swap (direct),https://almascots.com/sports/mens-soccer/roster/2025,37,todo,
Alma College,womens-soccer,NCAA D3,Michigan Intercollegiate Athletic Association,https://almascots.com/sports/womens-soccer/roster/2024,year-swap (direct),https://almascots.com/sports/womens-soccer/roster/2025,41,todo,
Alvernia,mens-soccer,NCAA D3,MAC Commonwealth,https://auwolves.com/sports/mens-soccer/roster/2024,year-swap (direct),https://auwolves.com/sports/mens-soccer/roster/2025,27,todo,
Alvernia University,womens-soccer,NCAA D3,Middle Atlantic Conference (Commonwealth),https://auwolves.com/sports/womens-soccer/roster/2024,year-swap (direct),https://auwolves.com/sports/womens-soccer/roster/2025,24,todo,
Alverno College,womens-soccer,NCAA D3,Northern Athletics Collegiate Conference,https://athletics.alverno.edu/sports/womens-soccer/roster/2024,year-swap (direct),https://athletics.alverno.edu/sports/womens-soccer/roster/2025,6,todo,
American,mens-soccer,NCAA D1,Patriot League,https://aueagles.com/sports/mens-soccer/roster/2024,year-swap (direct),https://aueagles.com/sports/mens-soccer/roster/2025,28,todo,
American,womens-soccer,NCAA D1,Patriot,https://aueagles.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251117123817/https://aueagles.com/sports/womens-soccer/roster,29,todo,
American International,mens-soccer,NCAA D2,Northeast-10,https://aicyellowjackets.com/sports/mens-soccer/roster/2024,year-swap (direct),https://aicyellowjackets.com/sports/mens-soccer/roster/2025,48,todo,
American International,womens-soccer,NCAA D2,Northeast-10 Conference,https://aicyellowjackets.com/sports/womens-soccer/roster/2024,year-swap (direct),https://aicyellowjackets.com/sports/womens-soccer/roster/2025,33,todo,
Amherst,mens-soccer,NCAA D3,NESCAC,https://athletics.amherst.edu/sports/mens-soccer/roster/2024,year-swap (direct),https://athletics.amherst.edu/sports/mens-soccer/roster/2025,29,todo,
Amherst College,womens-soccer,NCAA D3,New England Small College Athletic Conference,https://athletics.amherst.edu/sports/womens-soccer/roster/2024,year-swap (direct),https://athletics.amherst.edu/sports/womens-soccer/roster/2025,28,todo,
Anderson (IN),mens-soccer,NCAA D3,HCAC,https://athletics.anderson.edu/sports/msoc/2024-26/roster,year-swap (direct),https://athletics.anderson.edu/sports/msoc/2025-26/roster,32,todo,
Anderson (SC),mens-soccer,NCAA D2,SAC,https://autrojans.com/sports/mens-soccer/roster/2024,year-swap (direct),https://autrojans.com/sports/mens-soccer/roster/2025,35,todo,
Anderson (SC),womens-soccer,NCAA D2,South Atlantic Conference,https://autrojans.com/sports/womens-soccer/roster/2024,year-swap (direct),https://autrojans.com/sports/womens-soccer/roster/2025,28,todo,
Anderson University (IN),womens-soccer,NCAA D3,Heartland Collegiate Athletic Conference,https://athletics.anderson.edu/sports/wsoc/2024-26/roster,year-swap (direct),https://athletics.anderson.edu/sports/wsoc/2025-26/roster,30,todo,
Angelo State,womens-soccer,NCAA D2,Lone Star Conference,,no source URL recorded — discover from scratch,,29,todo,
Appalachian State,womens-soccer,NCAA D1,Sun Belt,,no source URL recorded — discover from scratch,,27,todo,
Arcadia,mens-soccer,NCAA D3,MAC Freedom,https://arcadiaknights.com/sports/mens-soccer/roster/2024,year-swap (direct),https://arcadiaknights.com/sports/mens-soccer/roster/2025,40,todo,
Arcadia University,womens-soccer,NCAA D3,Middle Atlantic Conference (Freedom),https://arcadiaknights.com/sports/womens-soccer/roster/2024,year-swap (direct),https://arcadiaknights.com/sports/womens-soccer/roster/2025,38,todo,
Arizona,womens-soccer,NCAA D1,Big 12,https://arizonawildcats.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251216012402/https://arizonawildcats.com/sports/womens-soccer/roster,27,todo,
Arizona State,womens-soccer,NCAA D1,Big 12,https://thesundevils.com/sports/womens-soccer/roster,no year in URL — check the site for a 2024 season selector,https://thesundevils.com/sports/womens-soccer/roster,26,todo,
Arkansas,womens-soccer,NCAA D1,SEC,https://arkansasrazorbacks.com/sport/w-soccer/roster/,no year in URL — check the site for a 2024 season selector,https://arkansasrazorbacks.com/sport/w-soccer/roster/,27,todo,
Arkansas State,womens-soccer,NCAA D1,Sun Belt,https://astateredwolves.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251218003641/https://astateredwolves.com/sports/womens-soccer/roster,26,todo,
Arkansas-Pine Bluff,womens-soccer,NCAA D1,SWAC,https://uapblionsroar.com/sports/womens-soccer/roster,no year in URL — check the site for a 2024 season selector,https://uapblionsroar.com/sports/womens-soccer/roster,20,todo,
Army,womens-soccer,NCAA D1,Patriot,https://goarmywestpoint.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251207162414/https://goarmywestpoint.com/sports/womens-soccer/roster,28,todo,
Army West Point,mens-soccer,NCAA D1,Patriot League,https://goarmywestpoint.com/sports/mens-soccer/roster/2024,year-swap (direct),https://goarmywestpoint.com/sports/mens-soccer/roster/2025,33,todo,
Asbury,mens-soccer,NCAA D3,CCS,https://asburyeagles.com/sports/mens-soccer/roster/2024,year-swap (direct),https://asburyeagles.com/sports/mens-soccer/roster/2025,46,todo,
Asbury University,womens-soccer,NCAA D3,Collegiate Conference of the South,https://asburyeagles.com/sports/womens-soccer/roster/2024,year-swap (direct),https://asburyeagles.com/sports/womens-soccer/roster/2025,33,todo,
Ashland,mens-soccer,NCAA D2,GLIAC,https://goashlandeagles.com/sports/mens-soccer/roster/2024,year-swap (direct),https://goashlandeagles.com/sports/mens-soccer/roster/2025,41,todo,
Ashland,womens-soccer,NCAA D2,Great Midwest Athletic Conference,https://goashlandeagles.com/sports/womens-soccer/roster/2024,year-swap (direct),https://goashlandeagles.com/sports/womens-soccer/roster/2025,37,todo,
Assumption,mens-soccer,NCAA D2,Northeast-10,https://assumptiongreyhounds.com/sports/mens-soccer/roster/2024,year-swap (direct),https://assumptiongreyhounds.com/sports/mens-soccer/roster/2025,41,todo,
Assumption,womens-soccer,NCAA D2,Northeast-10 Conference,https://assumptiongreyhounds.com/sports/womens-soccer/roster/2024,year-swap (direct),https://assumptiongreyhounds.com/sports/womens-soccer/roster/2025,22,todo,
Auburn,womens-soccer,NCAA D1,SEC,https://auburntigers.com/sports/womens-soccer/roster,no year in URL — check the site for a 2024 season selector,https://auburntigers.com/sports/womens-soccer/roster,14,todo,
Auburn Montgomery,mens-soccer,NCAA D2,GSC,https://aumathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://aumathletics.com/sports/mens-soccer/roster/2025,31,todo,
Auburn Montgomery,womens-soccer,NCAA D2,Gulf South Conference,https://aumathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://aumathletics.com/sports/womens-soccer/roster/2025,21,todo,
Augsburg,mens-soccer,NCAA D3,MIAC,https://athletics.augsburg.edu/sports/mens-soccer/roster/2024,year-swap (direct),https://athletics.augsburg.edu/sports/mens-soccer/roster/2025,30,todo,
Augsburg University,womens-soccer,NCAA D3,Minnesota Intercollegiate Athletic Conference,https://athletics.augsburg.edu/sports/womens-soccer/roster/2024,year-swap (direct),https://athletics.augsburg.edu/sports/womens-soccer/roster/2025,25,todo,
Augustana (IL),mens-soccer,NCAA D3,CCIW,https://athletics.augustana.edu/sports/mens-soccer/roster/2024,year-swap (direct),https://athletics.augustana.edu/sports/mens-soccer/roster/2025,55,todo,
Augustana (SD),womens-soccer,NCAA D2,Northern Sun Intercollegiate Conference,https://goaugie.com/sports/womens-soccer/roster/2024,year-swap (direct),https://goaugie.com/sports/womens-soccer/roster/2025,35,todo,
Augustana College,womens-soccer,NCAA D3,College Conference of Illinois & Wisconsin,https://athletics.augustana.edu/sports/womens-soccer/roster/2024,year-swap (direct),https://athletics.augustana.edu/sports/womens-soccer/roster/2025,32,todo,
Aurora,mens-soccer,NCAA D3,NACC,https://athletics.aurora.edu/sports/mens-soccer/roster/2024,year-swap (direct),https://athletics.aurora.edu/sports/mens-soccer/roster/2025,38,todo,
Aurora University,womens-soccer,NCAA D3,Northern Athletics Collegiate Conference,https://athletics.aurora.edu/sports/womens-soccer/roster/2024,year-swap (direct),https://athletics.aurora.edu/sports/womens-soccer/roster/2025,26,todo,
Austin College,mens-soccer,NCAA D3,ASC,https://acroos.com/sports/msoc/2024-26/roster,year-swap (direct),https://acroos.com/sports/msoc/2025-26/roster,34,todo,
Austin College,womens-soccer,NCAA D3,Southern Collegiate Athletic Conference,https://acroos.com/sports/wsoc/2024-26/roster,year-swap (direct),https://acroos.com/sports/wsoc/2025-26/roster,35,todo,
Austin Peay,womens-soccer,NCAA D1,UAC,https://letsgopeay.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251208010445/https://letsgopeay.com/sports/womens-soccer/roster,23,todo,
Averett,mens-soccer,NCAA D3,ODAC,https://averettcougars.com/sports/mens-soccer/roster/2024,year-swap (direct),https://averettcougars.com/sports/mens-soccer/roster/2025,21,todo,
Averett University,womens-soccer,NCAA D3,Old Dominion Athletic Conference,https://averettcougars.com/sports/womens-soccer/roster/2024,year-swap (direct),https://averettcougars.com/sports/womens-soccer/roster/2025,15,todo,
BYU,womens-soccer,NCAA D1,Big 12,https://byucougars.com/sports/womens-soccer/roster/season/2024,year-swap (direct),https://byucougars.com/sports/womens-soccer/roster/season/2025,30,todo,
Babson,mens-soccer,NCAA D3,NEWMAC,https://babsonathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://babsonathletics.com/sports/mens-soccer/roster/2025,34,todo,
Babson College,womens-soccer,NCAA D3,New England Women's and Men's Athletic Conference,https://babsonathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://babsonathletics.com/sports/womens-soccer/roster/2025,29,todo,
Baldwin Wallace,mens-soccer,NCAA D3,OAC,https://bwyellowjackets.com/sports/mens-soccer/roster/2024,year-swap (direct),https://bwyellowjackets.com/sports/mens-soccer/roster/2025,45,todo,
Baldwin Wallace University,womens-soccer,NCAA D3,Ohio Athletic Conference,https://bwyellowjackets.com/sports/womens-soccer/roster/2024,year-swap (direct),https://bwyellowjackets.com/sports/womens-soccer/roster/2025,38,todo,
Ball State,womens-soccer,NCAA D1,MAC,https://ballstatesports.com/sports/womens-soccer/roster/,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251003182953/https://ballstatesports.com/sports/womens-soccer/roster/,27,todo,
Bard,mens-soccer,NCAA D3,Liberty League,https://bardathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://bardathletics.com/sports/mens-soccer/roster/2025,28,todo,
Bard College,womens-soccer,NCAA D3,Liberty League,https://bardathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://bardathletics.com/sports/womens-soccer/roster/2025,20,todo,
Barry,mens-soccer,NCAA D2,Sunshine State,https://gobarrybucs.com/sports/mens-soccer/roster/2024,year-swap (direct),https://gobarrybucs.com/sports/mens-soccer/roster/2025,34,todo,
Barry,womens-soccer,NCAA D2,Sunshine State Conference,https://gobarrybucs.com/sports/womens-soccer/roster/2024,year-swap (direct),https://gobarrybucs.com/sports/womens-soccer/roster/2025,33,todo,
Barton,mens-soccer,NCAA D2,SAC,https://bartonbulldogs.com/sports/mens-soccer/roster/2024,year-swap (direct),https://bartonbulldogs.com/sports/mens-soccer/roster/2025,41,todo,
Barton,womens-soccer,NCAA D2,Conference Carolinas,https://bartonbulldogs.com/sports/womens-soccer/roster/2024,year-swap (direct),https://bartonbulldogs.com/sports/womens-soccer/roster/2025,27,todo,
Bates,mens-soccer,NCAA D3,NESCAC,https://gobatesbobcats.com/sports/msoc/roster/2024,year-swap (direct),https://gobatesbobcats.com/sports/msoc/roster/2025,34,todo,
Bates College,womens-soccer,NCAA D3,New England Small College Athletic Conference,https://gobatesbobcats.com/sports/womens-soccer/roster/2024,year-swap (direct),https://gobatesbobcats.com/sports/womens-soccer/roster/2025,29,todo,
Batten University,womens-soccer,NCAA D3,Old Dominion Athletic Conference,https://battenathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://battenathletics.com/sports/womens-soccer/roster/2025,35,todo,
Bay Path University,womens-soccer,NCAA D3,New England Collegiate Conference,https://athletics.baypath.edu/sports/wsoc/2024-26/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251108122942/https://athletics.baypath.edu/sports/wsoc/2025-26/roster,13,todo,
Baylor,womens-soccer,NCAA D1,Big 12,https://baylorbears.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251002033854/https://baylorbears.com/sports/womens-soccer/roster,29,todo,
Belhaven,mens-soccer,NCAA D3,ASC,https://blazers.belhaven.edu/sports/mens-soccer/roster/2024,year-swap (direct),https://blazers.belhaven.edu/sports/mens-soccer/roster/2025,39,todo,
Belhaven University,womens-soccer,NCAA D3,Collegiate Conference of the South,https://blazers.belhaven.edu/sports/womens-soccer/roster/2024,year-swap (direct),https://blazers.belhaven.edu/sports/womens-soccer/roster/2025,33,todo,
Bellarmine,mens-soccer,NCAA D1,ASUN,https://athletics.bellarmine.edu/sports/mens-soccer/roster/2024,year-swap (direct),https://athletics.bellarmine.edu/sports/mens-soccer/roster/2025,35,todo,
Bellarmine,womens-soccer,NCAA D1,ASUN,https://athletics.bellarmine.edu/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251123224132/https://athletics.bellarmine.edu/sports/womens-soccer/roster,25,todo,
Belmont,mens-soccer,NCAA D1,MVC,https://belmontbruins.com/sports/mens-soccer/roster/2024,year-swap (direct),https://belmontbruins.com/sports/mens-soccer/roster/2025,27,todo,
Belmont,womens-soccer,NCAA D1,Missouri Valley,https://belmontbruins.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20260227162023/https://belmontbruins.com/sports/womens-soccer/roster,26,todo,
Belmont Abbey,mens-soccer,NCAA D2,Conference USA,https://abbeyathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://abbeyathletics.com/sports/mens-soccer/roster/2025,39,todo,
Belmont Abbey,womens-soccer,NCAA D2,Conference Carolinas,https://abbeyathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://abbeyathletics.com/sports/womens-soccer/roster/2025,51,todo,
Beloit,mens-soccer,NCAA D3,MWC-D3,https://beloitcollegeathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://beloitcollegeathletics.com/sports/mens-soccer/roster/2025,39,todo,
Beloit College,womens-soccer,NCAA D3,Midwest Conference,https://beloitcollegeathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://beloitcollegeathletics.com/sports/womens-soccer/roster/2025,17,todo,
Bemidji State,womens-soccer,NCAA D2,Northern Sun Intercollegiate Conference,https://bsubeavers.com/sports/womens-soccer/roster/2024,year-swap (direct),https://bsubeavers.com/sports/womens-soccer/roster/2025,33,todo,
Benedictine (IL),mens-soccer,NCAA D3,CCIW,https://benueagles.com/sports/mens-soccer/roster/2024,year-swap (direct),https://benueagles.com/sports/mens-soccer/roster/2025,34,todo,
Benedictine University,womens-soccer,NCAA D3,Northern Athletics Collegiate Conference,https://benueagles.com/sports/womens-soccer/roster/2024,year-swap (direct),https://benueagles.com/sports/womens-soccer/roster/2025,23,todo,
Bentley,mens-soccer,NCAA D2,Northeast-10,https://bentleyfalcons.com/sports/mens-soccer/roster/2024,year-swap (direct),https://bentleyfalcons.com/sports/mens-soccer/roster/2025,36,todo,
Bentley,womens-soccer,NCAA D2,Northeast-10 Conference,https://bentleyfalcons.com/sports/womens-soccer/roster/2024,year-swap (direct),https://bentleyfalcons.com/sports/womens-soccer/roster/2025,32,todo,
Berea,mens-soccer,NCAA D3,HCAC,https://bereaathletics.com/sports/mens-soccer/roster/2024,year-swap (direct),https://bereaathletics.com/sports/mens-soccer/roster/2025,29,todo,
Berea College,womens-soccer,NCAA D3,Heartland Collegiate Athletic Conference,https://bereaathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://bereaathletics.com/sports/womens-soccer/roster/2025,24,todo,
Berry,mens-soccer,NCAA D3,SAA,https://berryvikings.com/sports/mens-soccer/roster/2024,year-swap (direct),https://berryvikings.com/sports/mens-soccer/roster/2025,30,todo,
Berry College,womens-soccer,NCAA D3,Southern Athletic Association,https://berryvikings.com/sports/womens-soccer/roster/2024,year-swap (direct),https://berryvikings.com/sports/womens-soccer/roster/2025,35,todo,
Bethany (WV),mens-soccer,NCAA D3,PAC,https://bethanybison.com/sports/mens-soccer/roster/2024,year-swap (direct),https://bethanybison.com/sports/mens-soccer/roster/2025,32,todo,
Bethany College (WV),womens-soccer,NCAA D3,Presidents' Athletic Conference,https://bethanybison.com/sports/womens-soccer/roster/2024,year-swap (direct),https://bethanybison.com/sports/womens-soccer/roster/2025,27,todo,
Bethany Lutheran,mens-soccer,NCAA D3,UMAC,https://blcvikings.com/sports/mens-soccer/roster/2024,year-swap (direct),https://blcvikings.com/sports/mens-soccer/roster/2025,41,todo,
Bethany Lutheran College,womens-soccer,NCAA D3,Upper Midwest Athletic Conference,https://blcvikings.com/sports/womens-soccer/roster/2024,year-swap (direct),https://blcvikings.com/sports/womens-soccer/roster/2025,20,todo,
Bethel (MN),mens-soccer,NCAA D3,MIAC,https://athletics.bethel.edu/sports/mens-soccer/roster/2024,year-swap (direct),https://athletics.bethel.edu/sports/mens-soccer/roster/2025,21,todo,
Bethel University (MN),womens-soccer,NCAA D3,Minnesota Intercollegiate Athletic Conference,https://athletics.bethel.edu/sports/womens-soccer/roster/2024,year-swap (direct),https://athletics.bethel.edu/sports/womens-soccer/roster/2025,24,todo,
Binghamton,mens-soccer,NCAA D1,America East,https://binghamtonbearcats.com/sports/mens-soccer/roster/2024,year-swap (direct),https://binghamtonbearcats.com/sports/mens-soccer/roster/2025,28,todo,
Binghamton,womens-soccer,NCAA D1,America East,https://binghamtonbearcats.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251206115037/https://binghamtonbearcats.com/sports/womens-soccer/roster,27,todo,
Biola,mens-soccer,NCAA D2,PacWest,https://athletics.biola.edu/sports/mens-soccer/roster/2024,year-swap (direct),https://athletics.biola.edu/sports/mens-soccer/roster/2025,33,todo,
Biola,womens-soccer,NCAA D2,Pacific West Conference,https://athletics.biola.edu/sports/womens-soccer/roster/2024,year-swap (direct),https://athletics.biola.edu/sports/womens-soccer/roster/2025,25,todo,
Black Hills State,womens-soccer,NCAA D2,Rocky Mountain Athletic Conference,https://bhsuathletics.com/sports/womens-soccer/roster/2024,year-swap (direct),https://bhsuathletics.com/sports/womens-soccer/roster/2025,26,todo,
Blackburn,mens-soccer,NCAA D3,SLIAC,https://blackburnbeavers.com/sports/msoc/2024-26/roster/,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251107105947/https://blackburnbeavers.com/sports/msoc/2025-26/roster/,42,todo,
Blackburn College,womens-soccer,NCAA D3,St. Louis Intercollegiate Athletic Conference,https://blackburnbeavers.com/sports/wsoc/2024-26/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251111143920/https://blackburnbeavers.com/sports/wsoc/2025-26/roster,15,todo,
Bluefield State,womens-soccer,NCAA D2,Independent,https://gobstate.com/sports/womens-soccer/roster/2024,year-swap (direct),https://gobstate.com/sports/womens-soccer/roster/2025,20,todo,
Bluffton,mens-soccer,NCAA D3,HCAC,https://www.blufftonbeavers.com/sports/msoc/2024-26/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251219144010/https://www.blufftonbeavers.com/sports/msoc/2025-26/roster,22,todo,
Bluffton University,womens-soccer,NCAA D3,Heartland Collegiate Athletic Conference,https://www.blufftonbeavers.com/sports/wsoc/2024-26/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251219144027/https://www.blufftonbeavers.com/sports/wsoc/2025-26/roster,23,todo,
Bob Jones,mens-soccer,NCAA D3,ASC,https://www.bjubruins.com/sports/mens-soccer/roster/2024,year-swap (direct),https://www.bjubruins.com/sports/mens-soccer/roster/2025,27,todo,
Boise State,womens-soccer,NCAA D1,Pac-12,https://broncosports.com/sports/womens-soccer/roster,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251206093959/https://broncosports.com/sports/womens-soccer/roster,29,todo,
Boston College,mens-soccer,NCAA D1,ACC,https://bceagles.com/sports/mens-soccer/roster/2024,year-swap (direct),https://bceagles.com/sports/mens-soccer/roster/2025,30,todo,
Boston College,womens-soccer,NCAA D1,ACC,https://bceagles.com/sports/womens-soccer/roster/,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251204033340/https://bceagles.com/sports/womens-soccer/roster/,29,todo,
Boston University,mens-soccer,NCAA D1,Patriot League,https://goterriers.com/sports/mens-soccer/roster/,wayback — query the CDX API for a late-2024 snapshot of this URL,https://web.archive.org/web/20251113133221/https://goterriers.com/sports/mens-soccer/roster/,28,todo,
